"indicator","session","currency","Unit","Date","Value"
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/12/2006",2.3134
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/13/2006",2.3152
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/14/2006",2.3169
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/17/2006",2.3158
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/18/2006",2.3154
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/19/2006",2.3157
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/20/2006",2.3194
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/21/2006",2.3239
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/24/2006",2.3264
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/25/2006",2.3287
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/26/2006",2.3267
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/27/2006",2.3265
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/28/2006",2.325
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","07/31/2006",2.316
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/01/2006",2.3223
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/02/2006",2.3247
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/03/2006",2.3298
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/04/2006",2.3336
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/07/2006",2.328
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/08/2006",2.3303
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/09/2006",2.3338
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/10/2006",2.3324
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/11/2006",2.3335
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/14/2006",2.3334
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/15/2006",2.3283
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/16/2006",2.3337
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/17/2006",2.3354
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/18/2006",2.3341
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/21/2006",2.3343
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/22/2006",2.3362
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/23/2006",2.3337
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/24/2006",2.3324
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/25/2006",2.3299
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/28/2006",2.3332
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/29/2006",2.3372
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","08/30/2006",2.3379
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/01/2006",2.3398
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/04/2006",2.3299
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/05/2006",2.3313
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/06/2006",2.3263
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/07/2006",2.3262
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/08/2006",2.3291
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/11/2006",2.3329
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/12/2006",2.3334
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/13/2006",2.3268
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/14/2006",2.3299
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/15/2006",2.3253
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/18/2006",2.3211
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/19/2006",2.3202
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/20/2006",2.3214
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/21/2006",2.3209
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/22/2006",2.3204
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/25/2006",2.322
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/26/2006",2.3215
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/27/2006",2.3208
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/28/2006",2.322
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","09/29/2006",2.3221
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/02/2006",2.3221
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/03/2006",2.3287
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/04/2006",2.3296
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/05/2006",2.3293
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/06/2006",2.3263
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/09/2006",2.3239
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/10/2006",2.3246
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/11/2006",2.3279
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/12/2006",2.3284
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/13/2006",2.3251
"Middle Rate","1200","Singapore Dollar","Malaysian ringgit","10/16/2006",2.325
