"indicator","session","currency","Unit","Date","Value"
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/29/2006",2.8029
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","08/30/2006",2.8028
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/01/2006",2.8131
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/04/2006",2.8167
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/05/2006",2.8185
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/06/2006",2.8051
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/07/2006",2.7954
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/08/2006",2.7699
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/11/2006",2.7639
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/12/2006",2.7632
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/13/2006",2.7533
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/14/2006",2.7597
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/15/2006",2.7757
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/18/2006",2.7682
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/19/2006",2.7844
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/20/2006",2.7776
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/21/2006",2.7769
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/22/2006",2.7792
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/25/2006",2.7664
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/26/2006",2.7793
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/27/2006",2.7654
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/28/2006",2.7662
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","09/29/2006",2.7549
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/02/2006",2.7468
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/03/2006",2.7573
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/04/2006",2.7417
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/05/2006",2.7503
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/06/2006",2.7525
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/09/2006",2.7411
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/10/2006",2.7487
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/11/2006",2.7493
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/12/2006",2.7589
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/13/2006",2.765
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/16/2006",2.7654
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/17/2006",2.7745
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/18/2006",2.7681
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/19/2006",2.7733
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/20/2006",2.7895
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/26/2006",2.8012
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/27/2006",2.7939
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/30/2006",2.8033
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","10/31/2006",2.8055
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/01/2006",2.822
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/02/2006",2.826
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/03/2006",2.8256
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/06/2006",2.8165
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/07/2006",2.8195
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/08/2006",2.8148
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/09/2006",2.7951
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/10/2006",2.7979
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/13/2006",2.7853
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/14/2006",2.7807
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/15/2006",2.7903
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/16/2006",2.797
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/17/2006",2.8033
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/20/2006",2.804
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/21/2006",2.8097
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/22/2006",2.8142
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/23/2006",2.8183
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/24/2006",2.8206
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/27/2006",2.8324
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/28/2006",2.8356
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/29/2006",2.8424
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","11/30/2006",2.8389
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/01/2006",2.8432
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/04/2006",2.8214
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/05/2006",2.8194
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/06/2006",2.8018
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/07/2006",2.7915
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/08/2006",2.8087
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/11/2006",2.7818
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/12/2006",2.7813
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/13/2006",2.7948
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/14/2006",2.7943
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/15/2006",2.7749
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/18/2006",2.7755
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/19/2006",2.7805
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/20/2006",2.7907
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/21/2006",2.7867
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/22/2006",2.7809
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/26/2006",2.7779
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/27/2006",2.7764
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/28/2006",2.7743
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","12/29/2006",2.7936
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/03/2007",2.8021
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/04/2007",2.7817
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/05/2007",2.7522
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/08/2007",2.7433
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/09/2007",2.7465
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/10/2007",2.743
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/11/2007",2.7482
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/12/2007",2.7443
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/15/2007",2.7531
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/16/2007",2.7437
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/17/2007",2.7419
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/18/2007",2.7601
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/19/2007",2.765
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/22/2007",2.7677
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/23/2007",2.763
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/24/2007",2.7418
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/25/2007",2.7277
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/26/2007",2.7135
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/29/2007",2.7104
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/30/2007",2.7067
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","01/31/2007",2.7044
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/02/2007",2.705
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/05/2007",2.7078
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/06/2007",2.7092
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/07/2007",2.7139
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/08/2007",2.7309
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/09/2007",2.7263
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/12/2007",2.706
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/13/2007",2.7013
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/14/2007",2.7303
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/15/2007",2.7397
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/16/2007",2.7404
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/21/2007",2.7497
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/22/2007",2.7654
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/23/2007",2.756
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/26/2007",2.7658
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/27/2007",2.7732
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","02/28/2007",2.7604
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/01/2007",2.7551
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/02/2007",2.7585
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/05/2007",2.7313
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/06/2007",2.7223
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/07/2007",2.7229
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/08/2007",2.7251
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/09/2007",2.7314
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/12/2007",2.7332
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/13/2007",2.7517
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/14/2007",2.7509
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/15/2007",2.7588
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/16/2007",2.7795
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/19/2007",2.7864
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/20/2007",2.7918
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/21/2007",2.7934
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/22/2007",2.7949
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/23/2007",2.7935
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/26/2007",2.7766
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/27/2007",2.7959
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/28/2007",2.7938
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/29/2007",2.79
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","03/30/2007",2.7912
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/02/2007",2.8083
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/03/2007",2.8204
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/04/2007",2.8041
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/05/2007",2.8261
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/06/2007",2.823
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/09/2007",2.811
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/10/2007",2.8377
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/11/2007",2.8417
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/12/2007",2.849
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/13/2007",2.8642
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/16/2007",2.864
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/17/2007",2.861
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/18/2007",2.8712
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/19/2007",2.8553
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/20/2007",2.8602
"Middle Rate","1200","Australian Dollar","Malaysian ringgit","04/23/2007",2.8573
