"indicator","session","currency","Unit","Date","Value"
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","07/31/2006",3.6535
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/01/2006",3.665
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/02/2006",3.6695
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/03/2006",3.6795
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/04/2006",3.6795
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/07/2006",3.6585
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/08/2006",3.6665
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/09/2006",3.6775
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/10/2006",3.664
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/11/2006",3.6755
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/14/2006",3.6845
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/15/2006",3.6815
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/16/2006",3.6815
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/17/2006",3.6775
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/18/2006",3.676
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/21/2006",3.6695
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/22/2006",3.6755
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/23/2006",3.674
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/24/2006",3.679
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/25/2006",3.675
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/28/2006",3.683
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/29/2006",3.6795
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","08/30/2006",3.677
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/01/2006",3.679
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/04/2006",3.6585
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/05/2006",3.6578
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/06/2006",3.6475
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/07/2006",3.6465
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/08/2006",3.6545
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/11/2006",3.6688
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/12/2006",3.6755
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/13/2006",3.6723
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/14/2006",3.6715
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/15/2006",3.6745
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/18/2006",3.6775
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/19/2006",3.6865
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/20/2006",3.6865
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/21/2006",3.6715
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/22/2006",3.676
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/25/2006",3.678
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/26/2006",3.679
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/27/2006",3.6835
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/28/2006",3.6855
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","09/29/2006",3.6845
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/02/2006",3.689
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/03/2006",3.6865
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/04/2006",3.6885
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/05/2006",3.69
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/06/2006",3.689
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/09/2006",3.6935
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/10/2006",3.6925
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/11/2006",3.697
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/12/2006",3.694
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/13/2006",3.681
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/16/2006",3.686
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/17/2006",3.6785
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/18/2006",3.672
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/19/2006",3.6725
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/20/2006",3.676
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/26/2006",3.6705
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/27/2006",3.6545
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/30/2006",3.64
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","10/31/2006",3.648
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/01/2006",3.646
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/02/2006",3.659
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/03/2006",3.6485
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/06/2006",3.6575
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/07/2006",3.652
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/08/2006",3.6445
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/09/2006",3.6478
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/10/2006",3.6405
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/13/2006",3.634
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/14/2006",3.6385
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/15/2006",3.6455
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/16/2006",3.6545
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/17/2006",3.6575
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/20/2006",3.6475
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/21/2006",3.6485
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/22/2006",3.6465
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/23/2006",3.6375
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/24/2006",3.635
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/27/2006",3.6315
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/28/2006",3.64
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/29/2006",3.6325
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","11/30/2006",3.618
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/01/2006",3.597
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/04/2006",3.5875
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/05/2006",3.579
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/06/2006",3.559
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/07/2006",3.5445
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/08/2006",3.5565
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/11/2006",3.555
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/12/2006",3.5435
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/13/2006",3.5445
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/14/2006",3.5535
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/15/2006",3.5488
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/18/2006",3.554
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/19/2006",3.562
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/20/2006",3.5555
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/21/2006",3.547
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/22/2006",3.5403
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/26/2006",3.5385
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/27/2006",3.538
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/28/2006",3.5303
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","12/29/2006",3.5315
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/03/2007",3.513
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/04/2007",3.5165
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/05/2007",3.515
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/08/2007",3.52
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/09/2007",3.5065
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/10/2007",3.516
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/11/2007",3.515
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/12/2007",3.5185
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/15/2007",3.5068
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/16/2007",3.5045
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/17/2007",3.5025
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/18/2007",3.502
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/19/2007",3.502
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/22/2007",3.5045
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/23/2007",3.5035
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/24/2007",3.5015
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/25/2007",3.5003
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/26/2007",3.5043
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/29/2007",3.5043
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/30/2007",3.5025
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","01/31/2007",3.5015
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/02/2007",3.5005
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/05/2007",3.5005
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/06/2007",3.496
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/07/2007",3.4935
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/08/2007",3.4955
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/09/2007",3.4935
"Middle Rate","1200","U.S. Dollar","Malaysian ringgit","02/12/2007",3.495
